Size	Npops	PC0	PC1	PC2	PC3	PC4	PC5	PC6	PC7
50	3	0.6262440023704147	0.35214165738424463	0.008607797673045915	0.05041626004424797	0.0397912241104254	-0.1461795761940885	-0.022542518851297516	0.1439440178709783
50	4	0.45366857241762526	0.27015857493328094	0.06955228537238488	0.007327284447052038	-0.04200788656980303	-0.07694811728469647	-0.026358537132640174	0.023077992230751406
50	5	0.4321161722941316	0.12097485796656095	0.05848495778565714	0.0001842128835757221	-0.10095808710024945	-0.019059061665438585	-0.03079399255344073	-0.09372648391831251
50	6	0.312706191643607	0.07322212641132882	-0.016119246677618625	0.013139691384388929	-0.0063291304573614305	-0.09357299480867687	-0.047231487799699046	0.030704828373825394
50	7	0.31446358931076757	0.0648647498493088	0.009025295149514867	-0.07191447589718204	0.021212515620784	-0.07519868222763931	-0.024667168462877875	-0.05196623900368975
50	8	0.282040120220964	0.08372160872808555	0.010816855381080868	0.016445066869874923	-0.01768277515899594	-0.006589728692352167	-0.11293586460533926	-0.08675913155760344
50	9	0.23958817054578088	0.007656128190864269	0.05647131021040409	0.019812121981934303	-0.007027376488111947	-0.06956163574740525	-0.08773447061849463	-0.12940820277076603
60	3	0.6393433216911323	0.3941825609275682	0.20919834182960426	0.0289670146934647	0.12816820737373216	0.00975730436112312	0.010978607682868466	-0.05488471562634975
60	4	0.7804674856362954	0.4922603870303497	0.5323991645137254	0.009919606230027625	0.09904663030551661	0.08497579335346066	-0.0406975255112716	0.0605811339047106
60	5	0.6961511280140344	0.25812507278414365	0.12038781227402635	0.06501656123910594	0.06691789329419062	-0.0385871359036261	-0.011042643211478386	0.07254809622570228
60	6	0.363258198325592	0.04229163670340052	0.08707154969919724	-0.051105190809507796	-0.07747240008028197	-0.016545721696017306	-0.0523429823757095	-0.06044684317617594
60	7	0.30306846816715244	0.06985112323430084	0.031247939559029107	0.00421000865089227	-0.02157205285351035	-0.06364759668601008	-0.09028324570629194	-0.05454596634705681
60	8	0.24171992000412154	0.06281637323094161	0.035890447009739895	-0.002049233980236524	-0.0357192413651245	-0.038266974735804024	-0.08967124555339663	-0.03818664697441563
60	9	0.14898649277680787	0.05476648192195247	0.08696169090184849	0.07478440270510789	-0.0023416578539043617	-0.01475873001088765	-0.10941055077901546	-0.11128321006795668
