Size	Npops	PC0	PC1	PC2	PC3	PC4	PC5	PC6	PC7
50	3	0.5455376729348681	0.2423749997667341	0.012183281238713237	0.14829396739198625	0.050739712253565654	0.02007419936548106	0.16608966585983198	0.06794281810898642
50	4	0.36922359079609185	0.047990875750669716	-0.021517685981586206	0.16858681741382728	0.09398244410783395	0.11092973060526964	0.1288907803010092	0.0675806860186638
50	5	0.7213316252521995	0.5239743041822051	0.5004852287938001	0.6476411946876512	0.3971100409594631	0.20386537448596256	0.062422020006100226	0.0984056916327635
50	6	0.6457585108554542	0.3950173588070704	0.25820635044045476	0.1828724348495412	0.2675440336417539	0.0674149656000293	0.12097322145998009	0.1238923716168975
50	7	0.44527735836475685	0.2428153516838997	0.04333440036164427	0.11936381409700067	0.005735672929264253	0.2833929645593184	0.22164015111267305	0.0527988317347455
50	8	0.657843768993398	0.3460775880206338	0.15902254026242113	0.0873126237117625	0.07542627876759464	0.11325248346109841	0.008589602277711555	0.05367426172993125
50	9	0.42725589824399934	0.2019435076437253	0.06366175483629585	0.060494262671362604	0.025039738097574274	-0.07058128926695702	0.030343031559769397	0.056354016774340564
60	3	0.421811161704528	0.14446568632605022	-0.01978616241634956	0.11809615774247888	0.025080947620161522	0.14458416996653037	0.18310807952499145	-0.0152023808153039
60	4	0.7411122093593551	0.31810746475352164	0.42532383649114486	0.2952011792671223	0.13787178681306234	0.09459473505046224	0.013614711679057341	-0.03217621181254933
60	5	0.4470844784426885	0.14710484326269913	0.013599011698928418	0.36838953820412934	0.17403882988509278	0.2237468563607758	0.025211282070386073	0.07951898172336988
60	6	0.6299801734277396	0.5007196577114508	0.30266090984083693	0.22876294263226002	0.2911820246251513	0.2950249012930485	0.13389200107255533	0.03979540861280565
60	7	0.440847318027604	0.25076060821691626	0.1587064835739829	0.06852790254214919	0.034407746679334966	0.1305999966498926	0.10956112860329466	0.10002899814457798
60	8	0.7004699012072141	0.32595091108436175	0.2008604590458108	0.11945093343869702	0.1438983250687359	0.16146976930165727	0.25106193616143635	0.3257424116256289
60	9	0.5067848466695123	0.23643755415226297	0.12230505081088931	0.0793468638853239	0.09659473857410247	0.04361167591841949	0.06802114674101939	-0.0049546417924255055
70	3	0.6245258703473231	0.4242695219371015	0.07325391881461266	0.07639098874675969	0.10707407434250617	0.13802689568207477	-0.026108256846774765	-0.028374342793408995
70	4	0.6534358977455709	0.11425618337312211	0.05041688590582924	0.27639294140757786	-0.12528194817743546	0.08201161660842557	-0.019224065475094056	0.09083732022925539
